id;first_name;last_name;email;is_active;phone;address_line_1;address_line_2;city;country;image;image_content_type;salary;location_id;emp_type_id
1;Lola;Rodriguez;"Gd;\@,9d./^+";true;1-311-645-0729;Small maximized bandwidth-monitored;Underpass;Meredithfurt;Montserrat;../fake-data/blob/hipster.png;image/png;25437;1;1
2;Rosario;Barrows;"jD@'.SnT>w?";true;158-951-4411;Music pink;Directives alarm Jersey;West Verner;United Arab Emirates;../fake-data/blob/hipster.png;image/png;76252;2;2
3;Lue;Collins;"e@91y.~R_";true;(194) 120-0565 x952;Small Concrete Chicken;Won Bacon invoice;East Deanville;Italy;../fake-data/blob/hipster.png;image/png;90189;3;3
4;Raphael;Abshire;"i$O8J@V$\Y).v";false;(132) 641-0601;Operations Ball;Personal Loan Account Soft Crest;South Baronstad;Macao;../fake-data/blob/hipster.png;image/png;39718;4;4
5;Erik;Paucek;"60j@6F9.U^c)";false;605-294-0817;UIC-Franc SMTP Grass-roots;backing up Unbranded adapter;New Theodore;Portugal;../fake-data/blob/hipster.png;image/png;69290;5;5
6;Lucile;Berge;"$.S;.I@p'BIa.?M;$/";true;578.942.0820 x2003;moderator Expanded;Agent;Wolffchester;Seychelles;../fake-data/blob/hipster.png;image/png;13354;6;6
7;Nicolas;Turner;"1*m<'@8.NF+";false;764.989.8690 x520;framework;back-end;Lake Paulineshire;Western Sahara;../fake-data/blob/hipster.png;image/png;39685;7;7
8;Shanon;Beahan;"m6@]#(..X0_7HP";true;1-513-484-2190;Auto Loan Account Montana Accounts;feed;Sawaynborough;Chile;../fake-data/blob/hipster.png;image/png;18900;8;8
9;Ruth;Sanford;"5-qwz@B.ai5";true;1-512-735-2730 x7102;primary;Knolls virtual iterate;Emmetchester;Turkmenistan;../fake-data/blob/hipster.png;image/png;10451;9;9
10;Jessy;McLaughlin;"}M@'.0I";true;(613) 995-0351;Home Loan Account;Uganda Shilling Investment Account;Adamsfort;Uzbekistan;../fake-data/blob/hipster.png;image/png;65421;10;10
